group_label,agent,model,runs,tasks,axis,value,label
terminus-2 / gpt-5@openai,terminus-2,gpt-5@openai,438,89,success,0.4537,Success
mini-swe-agent / claude-opus-4-1-20250805@anthropic,mini-swe-agent,claude-opus-4-1-20250805@anthropic,444,89,success,0.447,Success
claude-code / claude-opus-4-1-20250805@anthropic,claude-code,claude-opus-4-1-20250805@anthropic,437,89,success,0.4421,Success
mini-swe-agent / gpt-5@openai,mini-swe-agent,gpt-5@openai,445,89,success,0.4303,Success
terminus-2 / gemini-2.5-pro@gemini,terminus-2,gemini-2.5-pro@gemini,442,89,success,0.4146,Success
codex / gpt-5-mini@openai,codex,gpt-5-mini@openai,437,89,success,0.3975,Success
terminus-2 / accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,902,89,success,0.3839,Success
mini-swe-agent / claude-haiku-4-5-20251001@anthropic,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,444,89,success,0.3718,Success
terminus-2 / minimax-m2.1@openai,terminus-2,minimax-m2.1@openai,438,89,success,0.3711,Success
openhands / gpt-5-mini@openai,openhands,gpt-5-mini@openai,445,89,success,0.3646,Success
terminus-2 / claude-haiku-4-5-20251001@anthropic,terminus-2,claude-haiku-4-5-20251001@anthropic,439,89,success,0.3543,Success
terminus-2 / moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,923,89,success,0.3471,Success
claude-code / claude-haiku-4-5-20251001@anthropic,claude-code,claude-haiku-4-5-20251001@anthropic,438,89,success,0.3425,Success
openhands / grok-4-0709@xai,openhands,grok-4-0709@xai,444,89,success,0.3373,Success
openhands / moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,875,89,success,0.3366,Success
mini-swe-agent / gemini-2.5-pro@gemini,mini-swe-agent,gemini-2.5-pro@gemini,444,89,success,0.3217,Success
mini-swe-agent / grok-code-fast-1@xai,mini-swe-agent,grok-code-fast-1@xai,445,89,success,0.3177,Success
openhands / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,878,89,success,0.3163,Success
mini-swe-agent / grok-4-0709@xai,mini-swe-agent,grok-4-0709@xai,445,89,success,0.3115,Success
terminus-2 / accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,904,89,success,0.3029,Success
terminus-2 / gpt-5-mini@openai,terminus-2,gpt-5-mini@openai,438,89,success,0.2981,Success
terminus-2 / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,929,89,success,0.2936,Success
terminus-2 / grok-4-0709@xai,terminus-2,grok-4-0709@xai,436,89,success,0.2869,Success
mini-swe-agent / gpt-5-mini@openai,mini-swe-agent,gpt-5-mini@openai,445,89,success,0.2677,Success
gemini-cli / gemini-2.5-pro@gemini,gemini-cli,gemini-2.5-pro@gemini,437,89,success,0.232,Success
terminus-2 / openai/gpt-oss-120b@together_ai,terminus-2,openai/gpt-oss-120b@together_ai,925,89,success,0.2259,Success
terminus-2 / gemini-2.5-flash@gemini,terminus-2,gemini-2.5-flash@gemini,439,89,success,0.1959,Success
mini-swe-agent / gemini-2.5-flash@gemini,mini-swe-agent,gemini-2.5-flash@gemini,445,89,success,0.1958,Success
openhands / gemini-2.5-flash@gemini,openhands,gemini-2.5-flash@gemini,445,89,success,0.1864,Success
openhands / gemini-2.5-pro@gemini,openhands,gemini-2.5-pro@gemini,445,89,success,0.1864,Success
gemini-cli / gemini-2.5-flash@gemini,gemini-cli,gemini-2.5-flash@gemini,439,89,success,0.1737,Success
mini-swe-agent / openai/gpt-oss-120b@together_ai,mini-swe-agent,openai/gpt-oss-120b@together_ai,887,89,success,0.1558,Success
terminus-2 / grok-code-fast-1@xai,terminus-2,grok-code-fast-1@xai,445,89,success,0.1552,Success
openhands / claude-haiku-4-5-20251001@anthropic,openhands,claude-haiku-4-5-20251001@anthropic,444,89,success,0.1525,Success
codex / gpt-5-nano@openai,codex,gpt-5-nano@openai,440,89,success,0.1195,Success
openhands / gpt-5-nano@openai,openhands,gpt-5-nano@openai,444,89,success,0.0961,Success
terminus-2 / gpt-5-nano@openai,terminus-2,gpt-5-nano@openai,436,89,success,0.0699,Success
mini-swe-agent / gpt-5-nano@openai,mini-swe-agent,gpt-5-nano@openai,445,89,success,0.0551,Success
mini-swe-agent / openai/gpt-oss-20b@together_ai,mini-swe-agent,openai/gpt-oss-20b@together_ai,888,89,success,0.0052,Success
terminus-2 / openai/gpt-oss-20b@together_ai,terminus-2,openai/gpt-oss-20b@together_ai,932,89,success,0.0,Success
terminus-3-3 / claude-opus-4-6@anthropic,terminus-3-3,claude-opus-4-6@anthropic,442,89,task_lift,0.9987,Task Lift
terminus-3-3 / gemini-3.1-pro-preview@Google,terminus-3-3,gemini-3.1-pro-preview@Google,445,89,task_lift,1.0,Task Lift
judy / claude-opus-4.6@anthropic,judy,claude-opus-4.6@anthropic,445,89,task_lift,0.9594,Task Lift
deepagent-harbor / gpt-5.2-codex@openai,deepagent-harbor,gpt-5.2-codex@openai,433,89,task_lift,0.8881,Task Lift
terminus-2 / claude-opus-4-6@anthropic,terminus-2,claude-opus-4-6@anthropic,445,89,task_lift,0.8346,Task Lift
claude-code / claude-opus-4-6@anthropic,claude-code,claude-opus-4-6@anthropic,445,89,task_lift,0.7659,Task Lift
terminus-2 / claude-opus-4-5-20251101@anthropic,terminus-2,claude-opus-4-5-20251101@anthropic,445,89,task_lift,0.7628,Task Lift
terminus-2 / gemini-3-pro-preview@gemini,terminus-2,gemini-3-pro-preview@gemini,445,89,task_lift,0.7503,Task Lift
terminus-2 / gpt-5.2@openai,terminus-2,gpt-5.2@openai,444,89,task_lift,0.7104,Task Lift
terminus-2 / glm-5@z-ai,terminus-2,glm-5@z-ai,442,89,task_lift,0.6862,Task Lift
claude-code / claude-opus-4-5-20251101@anthropic,claude-code,claude-opus-4-5-20251101@anthropic,445,89,task_lift,0.6847,Task Lift
openhands / claude-opus-4-5-20251101@anthropic,openhands,claude-opus-4-5-20251101@anthropic,445,89,task_lift,0.6816,Task Lift
terminus-2 / gemini-3-flash-preview@gemini,terminus-2,gemini-3-flash-preview@gemini,445,89,task_lift,0.6785,Task Lift
codex / gpt-5@openai,codex,gpt-5@openai,439,89,task_lift,0.6456,Task Lift
terminus-2 / gpt-5.1@openai,terminus-2,gpt-5.1@openai,445,89,task_lift,0.6218,Task Lift
codex / gpt-5-codex@openai,codex,gpt-5-codex@openai,436,89,task_lift,0.5744,Task Lift
terminus-2 / gpt-5-codex@openai,terminus-2,gpt-5-codex@openai,437,89,task_lift,0.5695,Task Lift
openhands / gpt-5@openai,openhands,gpt-5@openai,445,89,task_lift,0.5693,Task Lift
terminus-2 / claude-sonnet-4-5-20250929@anthropic,terminus-2,claude-sonnet-4-5-20250929@anthropic,440,89,task_lift,0.5572,Task Lift
mini-swe-agent / claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,442,89,task_lift,0.5511,Task Lift
openhands / claude-sonnet-4-5-20250929@anthropic,openhands,claude-sonnet-4-5-20250929@anthropic,443,89,task_lift,0.551,Task Lift
terminus-2 / minimax-m2.5@Minimax,terminus-2,minimax-m2.5@Minimax,445,89,task_lift,0.5474,Task Lift
mini-swe-agent / gpt-5-codex@openai,mini-swe-agent,gpt-5-codex@openai,444,89,task_lift,0.5356,Task Lift
claude-code / claude-sonnet-4-5-20250929@anthropic,claude-code,claude-sonnet-4-5-20250929@anthropic,437,89,task_lift,0.5093,Task Lift
terminus-2 / deepseek-v3.2@deepseek,terminus-2,deepseek-v3.2@deepseek,445,89,task_lift,0.5099,Task Lift
terminus-2 / claude-opus-4-1-20250805@anthropic,terminus-2,claude-opus-4-1-20250805@anthropic,443,89,task_lift,0.4889,Task Lift
openhands / claude-opus-4-1-20250805@anthropic,openhands,claude-opus-4-1-20250805@anthropic,445,89,task_lift,0.4725,Task Lift
terminus-2 / gpt-5.1-codex@openai,terminus-2,gpt-5.1-codex@openai,445,89,task_lift,0.4725,Task Lift
claude-code / minimax-m2.1@minimax,claude-code,minimax-m2.1@minimax,445,89,task_lift,0.4694,Task Lift
terminus-2 / moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,892,89,task_lift,0.4574,Task Lift
terminus-2 / gpt-5@openai,terminus-2,gpt-5@openai,438,89,task_lift,0.4527,Task Lift
mini-swe-agent / claude-opus-4-1-20250805@anthropic,mini-swe-agent,claude-opus-4-1-20250805@anthropic,444,89,task_lift,0.4477,Task Lift
claude-code / claude-opus-4-1-20250805@anthropic,claude-code,claude-opus-4-1-20250805@anthropic,437,89,task_lift,0.4425,Task Lift
mini-swe-agent / gpt-5@openai,mini-swe-agent,gpt-5@openai,445,89,task_lift,0.4319,Task Lift
terminus-2 / gemini-2.5-pro@gemini,terminus-2,gemini-2.5-pro@gemini,442,89,task_lift,0.4157,Task Lift
codex / gpt-5-mini@openai,codex,gpt-5-mini@openai,437,89,task_lift,0.3985,Task Lift
terminus-2 / accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,902,89,task_lift,0.3841,Task Lift
mini-swe-agent / claude-haiku-4-5-20251001@anthropic,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,444,89,task_lift,0.3737,Task Lift
terminus-2 / minimax-m2.1@openai,terminus-2,minimax-m2.1@openai,438,89,task_lift,0.37,Task Lift
openhands / gpt-5-mini@openai,openhands,gpt-5-mini@openai,445,89,task_lift,0.3664,Task Lift
terminus-2 / claude-haiku-4-5-20251001@anthropic,terminus-2,claude-haiku-4-5-20251001@anthropic,439,89,task_lift,0.3545,Task Lift
terminus-2 / moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,923,89,task_lift,0.3484,Task Lift
claude-code / claude-haiku-4-5-20251001@anthropic,claude-code,claude-haiku-4-5-20251001@anthropic,438,89,task_lift,0.3424,Task Lift
openhands / grok-4-0709@xai,openhands,grok-4-0709@xai,444,89,task_lift,0.3381,Task Lift
openhands / moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,875,89,task_lift,0.3375,Task Lift
mini-swe-agent / gemini-2.5-pro@gemini,mini-swe-agent,gemini-2.5-pro@gemini,444,89,task_lift,0.3228,Task Lift
mini-swe-agent / grok-code-fast-1@xai,mini-swe-agent,grok-code-fast-1@xai,445,89,task_lift,0.3195,Task Lift
openhands / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,878,89,task_lift,0.3176,Task Lift
mini-swe-agent / grok-4-0709@xai,mini-swe-agent,grok-4-0709@xai,445,89,task_lift,0.3133,Task Lift
terminus-2 / accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,904,89,task_lift,0.3019,Task Lift
terminus-2 / gpt-5-mini@openai,terminus-2,gpt-5-mini@openai,438,89,task_lift,0.2969,Task Lift
terminus-2 / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,929,89,task_lift,0.2946,Task Lift
terminus-2 / grok-4-0709@xai,terminus-2,grok-4-0709@xai,436,89,task_lift,0.2842,Task Lift
mini-swe-agent / gpt-5-mini@openai,mini-swe-agent,gpt-5-mini@openai,445,89,task_lift,0.2696,Task Lift
gemini-cli / gemini-2.5-pro@gemini,gemini-cli,gemini-2.5-pro@gemini,437,89,task_lift,0.2332,Task Lift
terminus-2 / openai/gpt-oss-120b@together_ai,terminus-2,openai/gpt-oss-120b@together_ai,925,89,task_lift,0.2241,Task Lift
terminus-2 / gemini-2.5-flash@gemini,terminus-2,gemini-2.5-flash@gemini,439,89,task_lift,0.1945,Task Lift
mini-swe-agent / gemini-2.5-flash@gemini,mini-swe-agent,gemini-2.5-flash@gemini,445,89,task_lift,0.1978,Task Lift
openhands / gemini-2.5-flash@gemini,openhands,gemini-2.5-flash@gemini,445,89,task_lift,0.1884,Task Lift
openhands / gemini-2.5-pro@gemini,openhands,gemini-2.5-pro@gemini,445,89,task_lift,0.1884,Task Lift
gemini-cli / gemini-2.5-flash@gemini,gemini-cli,gemini-2.5-flash@gemini,439,89,task_lift,0.1751,Task Lift
mini-swe-agent / openai/gpt-oss-120b@together_ai,mini-swe-agent,openai/gpt-oss-120b@together_ai,887,89,task_lift,0.1578,Task Lift
terminus-2 / grok-code-fast-1@xai,terminus-2,grok-code-fast-1@xai,445,89,task_lift,0.1572,Task Lift
openhands / claude-haiku-4-5-20251001@anthropic,openhands,claude-haiku-4-5-20251001@anthropic,444,89,task_lift,0.1548,Task Lift
codex / gpt-5-nano@openai,codex,gpt-5-nano@openai,440,89,task_lift,0.1199,Task Lift
openhands / gpt-5-nano@openai,openhands,gpt-5-nano@openai,444,89,task_lift,0.0984,Task Lift
terminus-2 / gpt-5-nano@openai,terminus-2,gpt-5-nano@openai,436,89,task_lift,0.0684,Task Lift
mini-swe-agent / gpt-5-nano@openai,mini-swe-agent,gpt-5-nano@openai,445,89,task_lift,0.0573,Task Lift
mini-swe-agent / openai/gpt-oss-20b@together_ai,mini-swe-agent,openai/gpt-oss-20b@together_ai,888,89,task_lift,0.0076,Task Lift
terminus-2 / openai/gpt-oss-20b@together_ai,terminus-2,openai/gpt-oss-20b@together_ai,932,89,task_lift,0.0,Task Lift
terminus-3-3 / claude-opus-4-6@anthropic,terminus-3-3,claude-opus-4-6@anthropic,442,89,tool_intensity,0.2201,Tool Intensity
terminus-3-3 / gemini-3.1-pro-preview@Google,terminus-3-3,gemini-3.1-pro-preview@Google,445,89,tool_intensity,0.3216,Tool Intensity
judy / claude-opus-4.6@anthropic,judy,claude-opus-4.6@anthropic,445,89,tool_intensity,0.1001,Tool Intensity
deepagent-harbor / gpt-5.2-codex@openai,deepagent-harbor,gpt-5.2-codex@openai,433,89,tool_intensity,0.199,Tool Intensity
terminus-2 / claude-opus-4-6@anthropic,terminus-2,claude-opus-4-6@anthropic,445,89,tool_intensity,0.2454,Tool Intensity
claude-code / claude-opus-4-6@anthropic,claude-code,claude-opus-4-6@anthropic,445,89,tool_intensity,0.208,Tool Intensity
terminus-2 / claude-opus-4-5-20251101@anthropic,terminus-2,claude-opus-4-5-20251101@anthropic,445,89,tool_intensity,0.3692,Tool Intensity
terminus-2 / gemini-3-pro-preview@gemini,terminus-2,gemini-3-pro-preview@gemini,445,89,tool_intensity,0.2348,Tool Intensity
terminus-2 / gpt-5.2@openai,terminus-2,gpt-5.2@openai,444,89,tool_intensity,0.397,Tool Intensity
terminus-2 / glm-5@z-ai,terminus-2,glm-5@z-ai,442,89,tool_intensity,0.2772,Tool Intensity
claude-code / claude-opus-4-5-20251101@anthropic,claude-code,claude-opus-4-5-20251101@anthropic,445,89,tool_intensity,0.2971,Tool Intensity
openhands / claude-opus-4-5-20251101@anthropic,openhands,claude-opus-4-5-20251101@anthropic,445,89,tool_intensity,0.307,Tool Intensity
terminus-2 / gemini-3-flash-preview@gemini,terminus-2,gemini-3-flash-preview@gemini,445,89,tool_intensity,0.2772,Tool Intensity
codex / gpt-5@openai,codex,gpt-5@openai,439,89,tool_intensity,0.0997,Tool Intensity
terminus-2 / gpt-5.1@openai,terminus-2,gpt-5.1@openai,445,89,tool_intensity,0.3085,Tool Intensity
codex / gpt-5-codex@openai,codex,gpt-5-codex@openai,436,89,tool_intensity,0.0539,Tool Intensity
terminus-2 / gpt-5-codex@openai,terminus-2,gpt-5-codex@openai,437,89,tool_intensity,0.2496,Tool Intensity
openhands / gpt-5@openai,openhands,gpt-5@openai,445,89,tool_intensity,0.2806,Tool Intensity
terminus-2 / claude-sonnet-4-5-20250929@anthropic,terminus-2,claude-sonnet-4-5-20250929@anthropic,440,89,tool_intensity,0.3752,Tool Intensity
mini-swe-agent / claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,442,89,tool_intensity,0.3374,Tool Intensity
openhands / claude-sonnet-4-5-20250929@anthropic,openhands,claude-sonnet-4-5-20250929@anthropic,443,89,tool_intensity,0.8318,Tool Intensity
terminus-2 / minimax-m2.5@Minimax,terminus-2,minimax-m2.5@Minimax,445,89,tool_intensity,0.2689,Tool Intensity
mini-swe-agent / gpt-5-codex@openai,mini-swe-agent,gpt-5-codex@openai,444,89,tool_intensity,0.1615,Tool Intensity
claude-code / claude-sonnet-4-5-20250929@anthropic,claude-code,claude-sonnet-4-5-20250929@anthropic,437,89,tool_intensity,0.2421,Tool Intensity
terminus-2 / deepseek-v3.2@deepseek,terminus-2,deepseek-v3.2@deepseek,445,89,tool_intensity,0.517,Tool Intensity
terminus-2 / claude-opus-4-1-20250805@anthropic,terminus-2,claude-opus-4-1-20250805@anthropic,443,89,tool_intensity,0.3629,Tool Intensity
openhands / claude-opus-4-1-20250805@anthropic,openhands,claude-opus-4-1-20250805@anthropic,445,89,tool_intensity,0.693,Tool Intensity
terminus-2 / gpt-5.1-codex@openai,terminus-2,gpt-5.1-codex@openai,445,89,tool_intensity,0.2441,Tool Intensity
claude-code / minimax-m2.1@minimax,claude-code,minimax-m2.1@minimax,445,89,tool_intensity,0.2849,Tool Intensity
terminus-2 / moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,892,89,tool_intensity,0.52,Tool Intensity
terminus-2 / gpt-5@openai,terminus-2,gpt-5@openai,438,89,tool_intensity,0.3856,Tool Intensity
mini-swe-agent / claude-opus-4-1-20250805@anthropic,mini-swe-agent,claude-opus-4-1-20250805@anthropic,444,89,tool_intensity,0.2275,Tool Intensity
claude-code / claude-opus-4-1-20250805@anthropic,claude-code,claude-opus-4-1-20250805@anthropic,437,89,tool_intensity,0.2468,Tool Intensity
mini-swe-agent / gpt-5@openai,mini-swe-agent,gpt-5@openai,445,89,tool_intensity,0.0349,Tool Intensity
terminus-2 / gemini-2.5-pro@gemini,terminus-2,gemini-2.5-pro@gemini,442,89,tool_intensity,0.2386,Tool Intensity
codex / gpt-5-mini@openai,codex,gpt-5-mini@openai,437,89,tool_intensity,0.0886,Tool Intensity
terminus-2 / accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,902,89,tool_intensity,0.393,Tool Intensity
mini-swe-agent / claude-haiku-4-5-20251001@anthropic,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,444,89,tool_intensity,0.311,Tool Intensity
terminus-2 / minimax-m2.1@openai,terminus-2,minimax-m2.1@openai,438,89,tool_intensity,0.4296,Tool Intensity
openhands / gpt-5-mini@openai,openhands,gpt-5-mini@openai,445,89,tool_intensity,0.3405,Tool Intensity
terminus-2 / claude-haiku-4-5-20251001@anthropic,terminus-2,claude-haiku-4-5-20251001@anthropic,439,89,tool_intensity,0.3873,Tool Intensity
terminus-2 / moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,923,89,tool_intensity,0.3499,Tool Intensity
claude-code / claude-haiku-4-5-20251001@anthropic,claude-code,claude-haiku-4-5-20251001@anthropic,438,89,tool_intensity,0.2618,Tool Intensity
openhands / grok-4-0709@xai,openhands,grok-4-0709@xai,444,89,tool_intensity,0.309,Tool Intensity
openhands / moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,875,89,tool_intensity,0.8529,Tool Intensity
mini-swe-agent / gemini-2.5-pro@gemini,mini-swe-agent,gemini-2.5-pro@gemini,444,89,tool_intensity,0.1974,Tool Intensity
mini-swe-agent / grok-code-fast-1@xai,mini-swe-agent,grok-code-fast-1@xai,445,89,tool_intensity,0.1659,Tool Intensity
openhands / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,878,89,tool_intensity,0.89,Tool Intensity
mini-swe-agent / grok-4-0709@xai,mini-swe-agent,grok-4-0709@xai,445,89,tool_intensity,0.1581,Tool Intensity
terminus-2 / accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,904,89,tool_intensity,0.4899,Tool Intensity
terminus-2 / gpt-5-mini@openai,terminus-2,gpt-5-mini@openai,438,89,tool_intensity,0.5403,Tool Intensity
terminus-2 / Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,929,89,tool_intensity,0.3727,Tool Intensity
terminus-2 / grok-4-0709@xai,terminus-2,grok-4-0709@xai,436,89,tool_intensity,0.2016,Tool Intensity
mini-swe-agent / gpt-5-mini@openai,mini-swe-agent,gpt-5-mini@openai,445,89,tool_intensity,0.0489,Tool Intensity
gemini-cli / gemini-2.5-pro@gemini,gemini-cli,gemini-2.5-pro@gemini,437,89,tool_intensity,0.1057,Tool Intensity
terminus-2 / openai/gpt-oss-120b@together_ai,terminus-2,openai/gpt-oss-120b@together_ai,925,89,tool_intensity,0.2297,Tool Intensity
terminus-2 / gemini-2.5-flash@gemini,terminus-2,gemini-2.5-flash@gemini,439,89,tool_intensity,0.6422,Tool Intensity
mini-swe-agent / gemini-2.5-flash@gemini,mini-swe-agent,gemini-2.5-flash@gemini,445,89,tool_intensity,0.3326,Tool Intensity
openhands / gemini-2.5-flash@gemini,openhands,gemini-2.5-flash@gemini,445,89,tool_intensity,0.6877,Tool Intensity
openhands / gemini-2.5-pro@gemini,openhands,gemini-2.5-pro@gemini,445,89,tool_intensity,0.5825,Tool Intensity
gemini-cli / gemini-2.5-flash@gemini,gemini-cli,gemini-2.5-flash@gemini,439,89,tool_intensity,0.0738,Tool Intensity
mini-swe-agent / openai/gpt-oss-120b@together_ai,mini-swe-agent,openai/gpt-oss-120b@together_ai,887,89,tool_intensity,0.0608,Tool Intensity
terminus-2 / grok-code-fast-1@xai,terminus-2,grok-code-fast-1@xai,445,89,tool_intensity,0.1694,Tool Intensity
openhands / claude-haiku-4-5-20251001@anthropic,openhands,claude-haiku-4-5-20251001@anthropic,444,89,tool_intensity,0.352,Tool Intensity
codex / gpt-5-nano@openai,codex,gpt-5-nano@openai,440,89,tool_intensity,0.0223,Tool Intensity
openhands / gpt-5-nano@openai,openhands,gpt-5-nano@openai,444,89,tool_intensity,0.5172,Tool Intensity
terminus-2 / gpt-5-nano@openai,terminus-2,gpt-5-nano@openai,436,89,tool_intensity,1.0,Tool Intensity
mini-swe-agent / gpt-5-nano@openai,mini-swe-agent,gpt-5-nano@openai,445,89,tool_intensity,0.0265,Tool Intensity
mini-swe-agent / openai/gpt-oss-20b@together_ai,mini-swe-agent,openai/gpt-oss-20b@together_ai,888,89,tool_intensity,0.0,Tool Intensity
terminus-2 / openai/gpt-oss-20b@together_ai,terminus-2,openai/gpt-oss-20b@together_ai,932,89,tool_intensity,0.0669,Tool Intensity
terminus-3-3 / claude-opus-4-6@anthropic,terminus-3-3,claude-opus-4-6@anthropic,442,89,exploration_diversity,0.6844,Exploration
terminus-3-3 / gemini-3.1-pro-preview@Google,terminus-3-3,gemini-3.1-pro-preview@Google,445,89,exploration_diversity,0.6216,Exploration
judy / claude-opus-4.6@anthropic,judy,claude-opus-4.6@anthropic,445,89,exploration_diversity,0.5775,Exploration
deepagent-harbor / gpt-5.2-codex@openai,deepagent-harbor,gpt-5.2-codex@openai,433,89,exploration_diversity,0.7796,Exploration
terminus-2 / claude-opus-4-6@anthropic,terminus-2,claude-opus-4-6@anthropic,445,89,exploration_diversity,0.6073,Exploration
claude-code / claude-opus-4-6@anthropic,claude-code,claude-opus-4-6@anthropic,445,89,exploration_diversity,0.9399,Exploration
